P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,SMILES,PICS
1,0,0,0,0,1,1,0,0,19,1,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,24,1,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,29,2,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,34,2,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,39,3,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,44,3,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,1,1,0,0,48,4,3,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,31,2,2,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,36,3,2,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,41,3,2,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,46,4,2,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,49,4,2,-1,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,27,2,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,32,2,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,37,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,42,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,46,4,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
0,0,0,2,0,1,0,0,1,19,1,3,0,1,0,0,0,0,0,1,0,0,0,0,,NULL
0,0,0,2,0,1,0,0,1,24,1,3,0,1,0,0,0,0,0,1,0,0,0,0,,NULL
0,0,0,2,0,1,0,0,1,29,2,3,0,1,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,31,2,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,36,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,41,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
1,0,0,0,0,0,1,0,0,45,3,2,0,0,0,0,0,0,0,1,0,0,0,0,,NULL
